summary,job_cat,timespent
Weekly MO Digitalisasi SPBU,Data,4.0
Melakukan explorasi atas md indikator,Development,0.916666667
Ingest all data,Development,8.0
Explore testing biglake untuk mencari bug after update,Development,4.0
belum terdapat message No result found ketika menggunakan search pada connection,Development,5.0
Meeting review Issue VMS,Technical Support,2.0
create contract API for new design monitoring video analytics,Development,5.0
izin persiapan dan perjalanan ke balikpapan,Development,8.0
present AI product bigbox to pemkot balikpapan,Development,8.0
meeting solving plan service blink eye bimasakti bigvision,Development,4.0
Peserta workshop Jamaludin,Development,4.0
 Juni Create API  Login,Development,4.0
update detail header detail paket lkpp,Development,3.0
Heatmaps  belum terdapat maximal digit pada set maximum sehingga text keluar dari modal,Development,8.0
SQL Editor  pengguna mendapatkan message secara terus menerus pada query generator,Development,8.0
Analysis next action development BigEnvelope ,Project Manager,5.0
check flow nifi untuk spbu benzine,Project Manager,5.0
Revisi monev ecatalog,"Sales, Marketing & Community",8.0
Rapat Penjelasan BigSpider,Technical Support,8.0
Penjelasan Juskeb Bigspider ke DEVP,Finance,2.0
Pengajuan data baru talent pb  eksisting pb tms,Finance,2.0
Support Meeting Bappenas,Finance,8.0
Meeting Mitra DBT dg Mnet,"Sales, Marketing & Community",3.0
Support meeting SLCL,Finance,4.0
Draft juskeb resource pak kasiono,Finance,4.0
Rekapitulasi Lemburan Sales AE,Technical Support,6.0
Discuss Redesign Website,Technical Support,1.0
Create BAST BAUT BAA  Pemkab Lumajang Pemkot Pasuruan,Technical Support,4.0
 Meeting solusi VMS UIN,"Sales, Marketing & Community",2.0
        preparation Redesign Website,Development,0.5
Restore data pemadanan masterregsosek dan dmpenjaringananakputussekolah,Data,1.0
Ingest Dokumen dan Peta KRB Peta BahayaKerentanan Kapasitas Risiko dan Jalur Evakuasi Tsunami Skala Desa Program IDRIP,Data,8.0
Pos Hujan Otomatis Curah Hujan,Data,8.0
Pekerjaan Selama  Minggu  Juni W,Technical Support,4.0
other senin  juni   brainstorm jira,Project Manager,2.0
regsosek raised issue ketika mau buat dashboard apps langsung error,Project Manager,1.0
pasuruan check ppt bigview untuk present ke lumajang,Project Manager,1.0
regsosek kamis  juni   stand up,Project Manager,1.0
polda kaltim follow up ke mas akas terkait keberangkatan ke kalimantan untuk ngawal presentasi bigsocial dan pemasangan hardware bigvision,Project Manager,0.5
regsosek check issue bigbuilder regsosek,Project Manager,1.0
regsosek fu pembuatan api loker dan fe loker,Project Manager,1.0
regsosek fu issue bigbuilder cant upload logo,Project Manager,1.0
regsosek rabu  juni   discuss use case to crm,Project Manager,1.0
regsosek jumat  juni  checkpoint dashboard loker,Project Manager,2.0
other rabu  juni   Workshop Evaluasi Bigbox System Integrator,Project Manager,8.0
Sync Slave MariaDB,Data,6.0
Integrasi  Counter on page forgot password on page forgotpassword,Development,8.0
Upate image assets,Development,8.0
Check SNA config FE,Development,3.0
Check SNA library code,Development,3.0
Indepth Interview v,Design,8.0
Explore best practice automation,Development,4.0
Develop new card metode pengadaan khusus,Development,2.0
Membuat Question SIMA PKPT Perencanaan,Development,8.0
Membuat Dashboard pendidikan page proporsi sekolah dengan akses fasilitas,Development,8.0
 Meeting BigBuilder BNPB,Development,3.0
 Update Penyesuaian SPH Kepulauan Riau,"Sales, Marketing & Community",4.0
 Discuss data CC KKP,Development,4.0
        Check Point BigVision Showcase with DMM,Development,0.5
Meeting Sprint Planning  Juni,Development,3.0
API Rekomendasi potensi bahaya banjir tingkat Waspada,Data,0.166666667
API Layer peta,Data,8.0
API Luas penggunaan lahan antar tahun per wilayah administrasi,Data,10.0
API Menampilkan grafik faktor berkontribusi banjir wilayah DAS Bengawan Solo,Data,8.0
FIxing bug  History chatbot hilang all bot,Development,2.0
Upload image  belum ada validasi format dan ukuran file pada FE,Development,8.0
IDOR Edit Connection,Development,4.0
Peseta workshop syamsa,Development,4.0
Update username tidak boleh pakai spasi dan special character,Development,3.0
Update flow create portlet custom,Development,4.0
Template Page Custom HTML  Natural Resources,Development,4.0
Dokumen Transfer Knowledge Regsosek,Technical Support,8.0
Persiapan dokumen renewal ISO ,Technical Support,3.0
Create Materi BIMTEK VMS Polda Kaltim,Technical Support,4.0
Meeting Semi Finaly Issue VMS Kaltim,Technical Support,2.0
Testing Web Showcase baru Bigvision,Technical Support,3.0
Update Pricing Bigvision Pada Data Bigbox,Technical Support,2.0
Backend troubleshoot error unmarshal JSON API face liveness,Development,3.0
Slicing Top  Perusahaan,Development,8.0
Slicing Top  Kota,Development,8.0
QA Functionality Apps Pemadanan,Development,8.0
Update pkwt pb mnet,"Sales, Marketing & Community",1.0
Draft Koordinasi  FU Juskeb Posindo  BPKP,Finance,4.0
Koordinasi Pemindahan Server,Finance,2.0
checkpoint progress biglake development,Project Manager,5.0
Checkpoint Biglake development,Project Manager,5.0
regsosek cek progress pembuatan video,Project Manager,1.0
other jumat  juni   monthly report aepm,Project Manager,2.0
polda kaltim follow up real jadwal pemasangan hardware  transfer knowledge serta apakah PM harus join juga atau tidak,Project Manager,1.0
other send user manual bigenvelope interopt ke grup,Project Manager,0.25
other selasa  juni   discuss ppt delivery aepm with mas budi,Project Manager,2.0
regsosek kirim screenshot dashboard loker ke mas rizki,Project Manager,0.25
regsosek eskalasi issue bigbuilder,Project Manager,1.0
regsosek rabu  juni   discuss action plan solving bigbuilder,Project Manager,2.0
corcomm discuss with corcommdit terkait hasil va dan action plan gap data,Project Manager,1.0
regsosek revisi laporan transfer knowledge,Project Manager,1.0
mentawai cek jira input task andreas ke jira,Project Manager,2.0
